Area name,Mother tongue name,Persons
RAJASTHAN,KHOND/KONDH,1
RAJASTHAN,KINNAURI,16
RAJASTHAN,KOCH,1
RAJASTHAN,KOM,7
RAJASTHAN,KORKU,46
RAJASTHAN,KORWA,23
RAJASTHAN,KUKI,61
RAJASTHAN,KURUKH/ORAON,251
RAJASTHAN,LADAKHI,33
RAJASTHAN,LAHNDA,15882
RAJASTHAN,LAKHER,92
RAJASTHAN,LEPCHA,1
RAJASTHAN,LIMBU,6
RAJASTHAN,LOTHA,7
RAJASTHAN,LUSHAI/MIZO,185
RAJASTHAN,MAO,295
RAJASTHAN,MARAM,3
RAJASTHAN,MIRI/MISHING,3
RAJASTHAN,MISHMI,17
RAJASTHAN,MOGH,2
RAJASTHAN,MONPA,2
RAJASTHAN,MUNDA,2767
RAJASTHAN,MUNDARI,121
RAJASTHAN,NISSI/DAFLA,59
RAJASTHAN,NOCTE,5
RAJASTHAN,PAITE,7
RAJASTHAN,PARJI,1
RAJASTHAN,RABHA,634
RAJASTHAN,RAI,176
RAJASTHAN,SANGTAM,1
RAJASTHAN,SAVARA,36
RAJASTHAN,SHINA,4
RAJASTHAN,TAMANG,3
RAJASTHAN,TANGKHUL,15
RAJASTHAN,TANGSA,1
RAJASTHAN,THADO,9
RAJASTHAN,TIBETAN,38
RAJASTHAN,TRIPURI,169
RAJASTHAN,TULU,119
RAJASTHAN,VAIPHEI,2
RAJASTHAN,WANCHO,1
RAJASTHAN,YIMCHUNGRE,1
RAJASTHAN,ZOU,4
UTTAR PRADESH,ASSAMESE,10356
UTTAR PRADESH,BENGALI,241007
UTTAR PRADESH,BODO,226
UTTAR PRADESH,DOGRI,2695
